Identifiant séquentiel unique *,Géométrie *,Nom de la station d'épuration,Numéro de la station d'épuration,Numéro du système de traitement *,Numéro de lieu SAGO,Municipalité(s) desservie(s),Classification,Type de traitement (description),Taille de la station d'épuration,Catégorie de suivi,Date de mise en service,Population de conception,Débit - Calcul de taille (m³/d),Débit de conception (m³/d),DBO5C de conception (kg/d),Latitude de l'émissaire,Longitude de l'émissaire,Lac/Cours d'eau (milieu récepteur),Nom du bassin primaire,Équipements de traitements,Date d'effectivité de l'AA,Nombre d’ouvrages de surverse
471,Point,Station d'épuration de Saint-Simon (Rimouski),11055-1,554,X2116499,<Nul>,Autres,Marais artificiel (roseaux),Très petite,2,2011-07-01,295,120,120,"18,2","48,201,435","-69,050,966","Centrale, Rivière","Centrale, Rivière",FS; ROS; ROS,<Nul>,1
472,Point,Station d'épuration de Métis-sur-Mer,09048-1,247,X2055901,<Nul>,Étangs aérés,Étangs aérés,Petite,3,2013-07-01,295,945,945,23,"48,683,889","-67,964,722","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (3 cell.),<Nul>,1
473,Point,Station d'épuration de Saint-Modeste,12020-1,394,X2055833,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2005-11-01,342,"109,1","117,4","18,2","47,843,611","-69,396,944","Montagne, Ruisseau de la","Verte, Rivière",EA (4 cell.),<Nul>,2
474,Point,Station d'épuration de Sainte-Françoise,11030-1,870,X0100161,<Nul>,Fosse septique,Fosse septique avec infiltration,Très petite,2,1980-01-01,250,165,165,<Nul>,"4,809,404","-69,069,437","Bérubé, Branche","Sud-Ouest, Rivière du",FS,<Nul>,1
475,Point,Station d'épuration de Lac-au Saumon,05480-1,57,X2048104,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1994-12-01,1186,"1876,8",1416,157,"48,418,889","-67,329,444","Saumon, Lac au","Ristigouche, Rivière",EA (2 cell.); PD,<Nul>,3
476,Point,Station d'épuration de Matane (Matane Saint-Luc),06560-1,261,X2048119,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1986-05-01,525,"482,6",250,29,"48,795,833","-67,486,111",<Nul>,"Matane, Rivière",EA (1 cell.),<Nul>,3
477,Point,Station d'épuration de Saint-Damase (Bas St-Laurent),07105-1,102,X0102429,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,2,2000-12-01,265,"153,8",153,14,"48,671,389","-67,821,944","Xavier-Landry, Cours d'eau","Tartigou, Rivière",EA (4 cell.),<Nul>,1
478,Point,Station d'épuration de Matane (Petit-Matane),06580-1,160,X2048117,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1995-09-01,600,"404,7",640,32,"48,863,889","-67,456,389","Saint-Laurent, Fleuve","Saint-Laurent, Fleuve",EA (2 cell.),<Nul>,4
479,Point,Station d'épuration de Saint-Eugène-de-Ladrière,10075-1,335,X2048162,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,1997-12-01,306,52,124,17,"48,256,944","-68,789,444","Bic, Rivière du","Bic, Rivière du",EA (1 cell.),<Nul>,2
480,Point,Station d'épuration de Saint-Tharcisius,05520-1,809,X2048446,<Nul>,Étangs non aérés,Étangs non aérés à décharge en continu,Très petite,2,1986-07-01,300,"322,6",65,15,"48,541,347","-67,325,093","Tamagodi, Rivière","Matane, Rivière",ENA (1 cell.),<Nul>,0
481,Point,Station d'épuration de Rivière-Bleue,09310-1,75,X2048140,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1993-11-01,1188,"594,1",1043,66,"47,433,333","-690,475","Bleue, Rivière","Saint-Jean, Rivière",EA (3 cell.); PD,<Nul>,1
482,Point,Station d'épuration de Saint-Gabriel-Lalemant,10330-1,794,X2048168,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1990-07-01,580,"207,8",222,30,"47,378,738","-69,940,479","Prairie, Cours d'eau de la","Ouelle, Rivière",EA (2 cell.); PD,<Nul>,0
483,Point,Station d'épuration de Saint-Michel-du-Squatec,13065-1,393,X2048226,<Nul>,Étangs aérés à rétention réduite,Étangs aérés à rétention réduite,Petite,3,2001-12-01,1300,"547,5",846,74,"47,867,856","-68,730,114","Touladi, Rivière","Saint-Jean, Rivière",ERR (2 cell.); PD,<Nul>,5
484,Point,Station d'épuration de Saint-Médard,11025-1,390,X2048224,<Nul>,Étangs aérés,Étangs aérés à parois verticales,Très petite,1,2001-07-01,244,"40,6","95,5","13,8","48,042,222","-689,075","Abraham-Bell, Rivière","Trois Pistoles, Rivière des",EA (4 cell.),<Nul>,1
485,Point,Station d'épuration de Sainte-Hélène,10440-1,326,X2048275,<Nul>,Étangs aérés,Étangs aérés,Très petite,2,1985-11-01,950,"179,8",359,52,"47,600,556","-69,729,722","Goudron, Rivière","Kamouraska, Rivière",EA (2 cell.); PD,<Nul>,2
486,Point,Station d'épuration de Saint-Hubert-de-Rivière-du-Loup,08210-1,361,X2048170,<Nul>,Étangs aérés,Étangs aérés,Petite,3,1993-08-01,968,"769,2",614,59,"47,824,167","-69,148,333","Sénescoupé, Rivière","Trois Pistoles, Rivière des",EA (3 cell.); PD,<Nul>,2
